channel_id,labels,pos_x,pos_y
1000058135,Остальное,12.9240675,-0.36504757
1000154882,Остальное,9.638164,0.2975349
1000183937,Остальное,6.093686,-1.2452539
1000336172,Остальное,15.255831,1.3363826
1000446792,"Психология, саморазвитие и др.",8.351534,-1.378415
1000482467,Остальное,15.463163,1.2023702
1000499465,Остальное,2.0353463,-1.5415069
1000572198,Остальное,8.004159,-1.0088402
1000582718,Остальное,15.257456,0.95164657
1000644166,Узбекский сегмент,8.92819,7.52364
1000645824,Узбекский сегмент,8.397973,7.577665
1000646079,Остальное,7.0717835,2.1097333
1000724666,Остальное,10.734638,2.5699108
1000735083,Работа и образование,5.2778487,1.3128691
1000937437,Остальное,10.861467,2.5157957
1001025682,Остальное,12.439055,0.12366228
1001029560,Инвестиции и финансы,4.2273555,-0.9923281
1001104273,Остальное,10.704285,0.1594481
1001172188,Остальное,11.652348,-0.01935016
1001188085,Остальное,11.149823,0.31093618
1001208105,"Психология, саморазвитие и др.",9.132362,-1.8549206
1001334129,Остальное,9.561926,0.2250642
1001497499,Остальное,14.014949,0.7827478
1001570408,Остальное,8.178628,7.1790977
1001662878,Остальное,6.549021,2.2790232
1001766948,Узбекский сегмент,8.3142395,7.441596
1001872252,Остальное,14.168092,1.0186489
1002026934,Остальное,8.2652445,7.384478
1002209029,Остальное,9.759704,0.5708141
1002281291,Остальное,10.205668,1.4961
1002393437,Остальное,12.441067,0.85184044
1002489170,Остальное,0.642399,-0.8911443
1002500850,Остальное,7.0111623,2.0647285
1002578391,Остальное,6.811079,1.082183
1002659535,"Психология, саморазвитие и др.",8.293738,-1.253204
1003078795,Остальное,14.505646,-0.55077296
1003201003,Остальное,10.784542,2.4983685
1003248657,Остальное,8.121378,7.262214
1003268324,Остальное,7.0789094,0.06929942
1003307527,Остальное,6.598259,0.6140135
1003313758,Остальное,14.941448,0.5633339
1003360080,Остальное,14.396227,0.25962332
1003399994,Остальное,6.6110015,0.5733972
1003509668,Остальное,9.897674,1.5123082
1003698528,Остальное,13.413752,0.8734721
1003740416,Остальное,12.225904,0.15396498
1003747500,Остальное,13.792082,0.68844086
1003762650,Остальное,6.1406555,2.9449062
1003852983,Остальное,14.054489,0.7798384
1003897601,Остальное,14.2070875,-0.21907786
1003921752,Остальное,13.95936,0.77386355
1003948012,Остальное,8.2108965,-0.65269935
1004015796,Остальное,7.2427526,0.58157146
1004070903,Остальное,13.954051,0.17037527
1004083431,Остальное,8.09492,7.1810474
1004157087,Остальное,14.57852,0.24164271
1004220897,Остальное,14.629656,0.20739725
1004325579,Остальное,5.539202,-0.18799631
1004353638,Остальное,11.099103,0.72076553
1004393721,Работа и образование,6.3391185,0.30181253
1004409473,Остальное,15.344995,1.7701337
1004504016,Остальное,13.415406,-0.13341735
1004546831,Остальное,5.5422187,-0.24345319
1004621278,Остальное,5.3879,1.2989824
1004770755,Остальное,8.152101,7.2472835
